id	perc_enrichment_study	perc_enrichment_pop	fold_enrichment_study2pop	study_count	study_n	pop_count	pop_n	p_uncorrected	p_benjamini_hochberg	description	ANs_study
...GO:0044248	11.5	11.3	1.02	129	1125	127	1125	0.947	1	cellular catabolic process	P00330,P00331,P00890,P00927,P01123,P05453,P06115,P06169,P06738,P06787,P07246,P07260,P07275,P07560,P07991,P09624,P09798,P11076,P14682,P15436,P15731,P16474,P16550,P18480,P18888,P19262,P19812,P21243,P22082,P22141,P22147,P24783,P25037,P25379,P25451,P25491,P25555,P25694,P26793,P28263,P28817,P32190,P32356,P32379,P32419,P32454,P32496,P32565,P32571,P32591,P32602,P32771,P32939,P33201,P33297,P33298,P33299,P33309,P33327,P36149,P36775,P37302,P37303,P38137,P38158,P38624,P38698,P38801,P38891,P38996,P39073,P39517,P39726,P39954,P39968,P40046,P40327,P41920,P43585,P43588,P43616,P46957,P47039,P47047,P47075,P47110,P47119,P47176,P48015,P48240,P48361,P48510,P49095,P52893,P53044,P53063,P53272,P53549,P53617,P53725,P53741,P53905,P53909,P54838,Q01389,Q01476,Q01802,Q01939,Q02159,Q02555,Q02725,Q02792,Q04792,Q05580,Q05635,Q06103,Q06494,Q06671,Q08162,Q12018,Q12114,Q12149,Q12250,Q12377,Q12428,Q12508,Q12514,Q12692,Q99383
.....GO:0006457	4.1	4.0	1.02	46	1125	45	1125	1	1	protein folding	P02829,P09435,P10591,P10592,P11484,P12612,P14832,P15108,P15705,P15992,P17967,P19882,P25491,P25719,P28707,P31539,P32527,P32589,P32590,P33313,P33416,P34760,P35191,P38523,P38768,P38879,P38910,P38911,P39077,P39078,P39079,P40005,P40413,P40961,P46956,P47079,P47133,P52553,P53193,P53691,P53940,Q02642,Q04697,Q06205,Q12154,Q12449
.....GO:0009259	5.0	4.9	1.02	56	1125	55	1125	1	1	ribonucleotide metabolic process	P00358,P00359,P00360,P00549,P00560,P00830,P00924,P00925,P00942,P00950,P04806,P04807,P05030,P05626,P06169,P07170,P07244,P07251,P07259,P09457,P12684,P12709,P13298,P14540,P15454,P16140,P16387,P16861,P16862,P17255,P17709,P18562,P20051,P25694,P27616,P28272,P28274,P30902,P32473,P36010,P38009,P38077,P38625,P38972,P40506,P47143,P50094,P50095,P54113,P80210,Q00955,Q04178,Q04409,Q05911,Q06405,Q12178
.....GO:0009165	4.5	4.4	1.02	51	1125	50	1125	1	1	nucleotide biosynthetic process	P00830,P05030,P05626,P06785,P07170,P07244,P07245,P07251,P07259,P07283,P09440,P09457,P09938,P13298,P14742,P15700,P16550,P18562,P20051,P21373,P22217,P27616,P28272,P28274,P29952,P30902,P36010,P38009,P38077,P38088,P38625,P38689,P38972,P40506,P41940,P43577,P47143,P49723,P50094,P50095,P53184,P54113,P80210,Q00955,Q02046,Q04178,Q05911,Q06178,Q06405,Q12178,Q12265
......GO:0009161	4.8	4.7	1.02	54	1125	53	1125	1	1	ribonucleoside monophosphate metabolic process	P00358,P00359,P00360,P00549,P00560,P00830,P00924,P00925,P00942,P00950,P04806,P04807,P05030,P05626,P06169,P07170,P07244,P07251,P07259,P09457,P12709,P13298,P14540,P15454,P16140,P16387,P16861,P16862,P17255,P17709,P18562,P20051,P25694,P27616,P28272,P30902,P32473,P38009,P38077,P38625,P38689,P38972,P47143,P50094,P50095,P53909,P54113,P80210,Q04178,Q04409,Q05911,Q06405,Q12178,Q12265
..GO:0044767	3.9	3.8	1.02	44	1125	43	1125	1	1	single-organism developmental process	P00447,P01120,P02309,P04807,P07560,P14832,P15790,P16649,P17505,P19454,P21965,P23292,P24280,P26793,P29311,P31787,P32340,P32561,P34730,P34760,P35187,P35817,P38827,P38859,P39925,P40466,P40961,P47037,P52893,P52910,P53075,P53184,P53865,P54113,P60010,P61830,Q01454,Q01802,Q03833,Q04409,Q06350,Q07878,Q12114,Q12508
.....GO:0006733	3.9	3.8	1.02	44	1125	43	1125	1	1	oxidoreduction coenzyme metabolic process	P00330,P00331,P00358,P00359,P00360,P00549,P00560,P00924,P00925,P00942,P00950,P04806,P04807,P06169,P07246,P11412,P12709,P14540,P15019,P16387,P16861,P16862,P17709,P21373,P23254,P32340,P32419,P32473,P36059,P38720,P38858,P46367,P46969,P48360,P49017,P53184,P53318,P54115,Q00055,Q04409,Q04869,Q05779,Q06178,Q12189
....GO:1901293	4.6	4.5	1.02	52	1125	51	1125	1	1	nucleoside phosphate biosynthetic process	P00830,P05030,P05626,P06785,P07170,P07244,P07245,P07251,P07259,P07283,P09440,P09457,P09938,P13298,P14742,P15700,P16550,P18562,P20051,P21373,P22217,P27616,P28272,P28274,P29952,P30902,P36010,P38009,P38077,P38088,P38625,P38689,P38972,P40506,P41940,P43577,P47143,P49723,P50094,P50095,P53184,P53909,P54113,P80210,Q00955,Q02046,Q04178,Q05911,Q06178,Q06405,Q12178,Q12265
......GO:0006417	4.3	4.2	1.02	48	1125	47	1125	1	1	regulation of translation	P04147,P05755,P07253,P07260,P07806,P09436,P0C2H8,P0CX29,P10080,P10081,P11484,P15424,P21560,P23301,P25443,P26637,P26783,P29547,P31383,P32324,P32471,P32497,P32527,P32911,P33309,P33892,P38011,P38199,P38249,P38300,P38431,P38708,P38788,P39015,P39517,P39730,P39935,P43535,P45978,P53235,P53297,Q01560,Q03195,Q04067,Q05775,Q08179,Q08421,Q08925
.....GO:0009123	4.9	4.8	1.02	55	1125	54	1125	1	1	nucleoside monophosphate metabolic process	P00358,P00359,P00360,P00549,P00560,P00830,P00924,P00925,P00942,P00950,P04806,P04807,P05030,P05626,P06169,P06785,P07170,P07244,P07251,P07259,P09457,P12709,P13298,P14540,P15454,P16140,P16387,P16861,P16862,P17255,P17709,P18562,P20051,P25694,P27616,P28272,P30902,P32473,P38009,P38077,P38625,P38689,P38972,P47143,P50094,P50095,P53909,P54113,P80210,Q04178,Q04409,Q05911,Q06405,Q12178,Q12265
...GO:1901575	12.7	12.5	1.01	143	1125	141	1125	0.949	1	organic substance catabolic process	P00330,P00331,P00358,P00359,P00360,P00549,P00560,P00890,P00924,P00925,P00927,P00942,P00950,P01123,P04806,P04807,P05453,P06169,P06738,P07246,P07260,P07275,P07991,P09624,P09798,P12709,P14540,P14682,P15436,P15731,P16387,P16474,P16550,P16861,P16862,P17709,P18480,P18888,P19262,P19812,P21243,P22082,P22141,P22147,P24783,P25037,P25379,P25451,P25491,P25555,P25694,P26793,P28263,P28817,P32190,P32356,P32379,P32419,P32454,P32473,P32496,P32565,P32571,P32591,P32771,P33201,P33297,P33298,P33299,P33309,P33327,P36775,P37012,P37302,P37303,P38137,P38139,P38158,P38624,P38698,P38779,P38791,P38801,P38891,P38996,P39073,P39517,P39726,P39954,P40047,P40327,P41920,P43583,P43588,P43616,P46957,P47039,P47047,P47110,P47119,P47176,P48015,P48240,P48361,P48510,P49095,P52893,P53044,P53063,P53272,P53549,P53617,P53725,P53905,P53909,P54115,P54838,Q00055,Q01476,Q01802,Q01939,Q02159,Q02555,Q02792,Q04409,Q04792,Q05580,Q05635,Q06103,Q06350,Q06494,Q08162,Q12018,Q12114,Q12149,Q12250,Q12377,Q12428,Q12458,Q12508,Q12514,Q12692,Q99383
..GO:0009056	14.2	14.0	1.01	160	1125	158	1125	0.952	1	catabolic process	P00330,P00331,P00358,P00359,P00360,P00549,P00560,P00890,P00924,P00925,P00927,P00942,P00950,P01123,P04806,P04807,P05453,P06115,P06169,P06738,P06787,P07246,P07260,P07275,P07560,P07991,P09624,P09798,P11076,P12709,P14540,P14682,P15436,P15731,P16387,P16474,P16550,P16861,P16862,P17709,P18480,P18888,P19262,P19812,P21243,P22082,P22141,P22147,P24783,P25037,P25379,P25451,P25491,P25555,P25694,P26793,P28263,P28817,P32190,P32356,P32379,P32419,P32454,P32473,P32496,P32565,P32571,P32591,P32602,P32771,P32939,P33201,P33297,P33298,P33299,P33309,P33327,P35187,P36149,P36775,P37012,P37302,P37303,P38137,P38139,P38158,P38624,P38698,P38779,P38791,P38801,P38859,P38891,P38996,P39073,P39517,P39726,P39954,P39968,P40046,P40047,P40327,P41920,P43583,P43585,P43588,P43616,P46957,P47039,P47047,P47075,P47110,P47119,P47176,P48015,P48240,P48361,P48510,P49095,P52893,P53044,P53063,P53272,P53549,P53617,P53725,P53741,P53905,P53909,P54115,P54838,Q00055,Q01389,Q01476,Q01802,Q01939,Q02159,Q02555,Q02725,Q02792,Q04409,Q04792,Q05580,Q05635,Q06103,Q06350,Q06494,Q06671,Q08162,Q12018,Q12114,Q12149,Q12250,Q12377,Q12428,Q12458,Q12508,Q12514,Q12692,Q99383
....GO:0006753	8.7	8.6	1.01	98	1125	97	1125	1	1	nucleoside phosphate metabolic process	P00330,P00331,P00358,P00359,P00360,P00549,P00560,P00830,P00924,P00925,P00942,P00950,P04806,P04807,P05030,P05626,P06169,P06785,P07170,P07244,P07245,P07246,P07251,P07259,P07283,P09440,P09457,P09938,P11412,P12684,P12709,P13298,P14540,P14742,P15019,P15454,P15700,P16140,P16387,P16550,P16861,P16862,P17255,P17709,P18562,P20051,P21373,P22217,P23254,P25694,P27616,P28272,P28274,P29952,P30902,P32340,P32419,P32473,P32861,P36010,P36059,P37012,P38009,P38077,P38088,P38625,P38689,P38720,P38858,P38972,P40506,P41940,P43577,P46367,P46969,P47119,P47143,P49723,P50094,P50095,P53184,P53909,P54113,P54115,P80210,Q00055,Q00955,Q02046,Q04178,Q04344,Q04409,Q04869,Q05911,Q06178,Q06405,Q12178,Q12189,Q12265
....GO:1901566	10.6	10.5	1.01	119	1125	118	1125	1	1	organonitrogen compound biosynthetic process	P00498,P00815,P00830,P00890,P00899,P00927,P00931,P00937,P03965,P04710,P05030,P05374,P05626,P05694,P06106,P06168,P06208,P06785,P07170,P07244,P07245,P07251,P07259,P07262,P07264,P07275,P07342,P07991,P08465,P08566,P09440,P09457,P09624,P09950,P10659,P10869,P13298,P13663,P14742,P15700,P16120,P16622,P17423,P17898,P18562,P19358,P20051,P21373,P21954,P23542,P27616,P28241,P28272,P28274,P28777,P28834,P29311,P30902,P31116,P31373,P32264,P32288,P32449,P32582,P33330,P34730,P36010,P37292,P37303,P38009,P38075,P38077,P38122,P38625,P38787,P38791,P38891,P38972,P39522,P39533,P39954,P40012,P40185,P40495,P40506,P40510,P40545,P40970,P47039,P47143,P47176,P48570,P49089,P50094,P50095,P50861,P52893,P53090,P53184,P53909,P54113,P54885,P80210,Q00955,Q01217,Q01802,Q02046,Q02196,Q04178,Q04728,Q05911,Q06178,Q06405,Q07540,Q12074,Q12122,Q12166,Q12178,Q12189
.....GO:0009117	8.7	8.6	1.01	98	1125	97	1125	1	1	nucleotide metabolic process	P00330,P00331,P00358,P00359,P00360,P00549,P00560,P00830,P00924,P00925,P00942,P00950,P04806,P04807,P05030,P05626,P06169,P06785,P07170,P07244,P07245,P07246,P07251,P07259,P07283,P09440,P09457,P09938,P11412,P12684,P12709,P13298,P14540,P14742,P15019,P15454,P15700,P16140,P16387,P16550,P16861,P16862,P17255,P17709,P18562,P20051,P21373,P22217,P23254,P25694,P27616,P28272,P28274,P29952,P30902,P32340,P32419,P32473,P32861,P36010,P36059,P37012,P38009,P38077,P38088,P38625,P38689,P38720,P38858,P38972,P40506,P41940,P43577,P46367,P46969,P47119,P47143,P49723,P50094,P50095,P53184,P53909,P54113,P54115,P80210,Q00055,Q00955,Q02046,Q04178,Q04344,Q04409,Q04869,Q05911,Q06178,Q06405,Q12178,Q12189,Q12265
...GO:0055114	11.5	11.4	1.01	129	1125	128	1125	1	1	oxidation-reduction process	P00044,P00330,P00331,P00358,P00359,P00360,P00427,P00445,P00447,P00815,P04037,P04710,P06115,P06168,P06169,P06738,P07149,P07245,P07246,P07256,P07257,P07262,P07275,P08566,P09440,P09624,P09938,P11412,P12684,P13663,P16387,P17505,P17695,P17967,P18239,P19097,P21147,P22217,P23180,P25372,P28239,P28272,P28777,P28817,P29311,P29509,P29704,P31116,P32340,P32353,P32419,P32462,P32463,P32473,P32614,P32771,P32861,P33327,P34227,P34730,P34760,P36013,P36136,P36141,P37012,P37898,P38013,P38071,P38075,P38115,P38626,P38720,P38787,P39676,P39714,P39726,P39976,P40012,P40029,P40043,P40047,P40202,P40312,P40495,P40510,P40513,P40553,P40581,P41921,P42940,P46367,P46681,P47047,P47120,P47148,P48015,P48360,P49017,P49095,P49723,P50094,P50095,P53163,P53193,P53199,P53318,P54113,P54115,P54838,P54885,Q00055,Q00711,Q01217,Q01574,Q02046,Q02196,Q02961,Q03102,Q03558,Q04869,Q04894,Q06053,Q06494,Q07540,Q07551,Q08822,Q12335,Q12458,Q12480
GO:0005575	94.8	94.4	1.00	1066	1125	1062	1125	0.78	1	cellular_component	O13297,O14467,P00044,P00330,P00331,P00358,P00359,P00360,P00427,P00445,P00447,P00498,P00549,P00560,P00817,P00830,P00890,P00899,P00924,P00925,P00927,P00937,P00942,P00950,P00958,P01120,P01123,P02293,P02309,P02406,P02407,P02829,P02994,P03871,P03872,P03965,P04037,P04147,P04449,P04456,P04710,P04801,P04802,P04803,P04806,P04807,P04840,P04911,P05030,P05317,P05374,P05453,P05626,P05737,P05738,P05739,P05740,P05744,P05747,P05748,P05749,P05750,P05755,P05756,P05759,P06101,P06105,P06106,P06115,P06168,P06169,P06208,P06634,P06738,P06778,P06785,P06786,P06787,P06843,P07149,P07170,P07213,P07244,P07245,P07246,P07248,P07251,P07253,P07256,P07257,P07259,P07260,P07262,P07263,P07264,P07275,P07278,P07280,P07283,P07284,P07342,P07560,P07806,P07991,P08417,P08465,P08524,P08566,P09064,P09435,P09436,P09440,P09457,P09624,P09798,P09938,P09950,P09959,P0C0T4,P0C0W9,P0C2H6,P0C2H8,P0C2I9,P0C5N3,P0CX23,P0CX25,P0CX29,P0CX31,P0CX33,P0CX35,P0CX37,P0CX39,P0CX41,P0CX43,P0CX45,P0CX47,P0CX49,P0CX53,P0CX55,P0CX84,P10080,P10081,P10507,P10591,P10592,P10664,P10962,P10964,P11076,P11484,P11632,P11633,P11914,P12383,P12385,P12612,P12684,P12687,P12695,P12709,P12887,P12945,P13188,P13382,P13393,P13574,P13587,P13663,P13712,P14120,P14126,P14164,P14540,P14682,P14742,P14832,P14906,P14907,P14922,P15019,P15108,P15180,P15424,P15436,P15565,P15624,P15625,P15646,P15700,P15705,P15731,P15790,P15873,P15891,P15992,P16140,P16387,P16451,P16474,P16521,P16547,P16622,P16649,P16861,P16862,P16965,P17076,P17106,P17157,P17255,P17423,P17442,P17505,P17536,P17558,P17629,P17695,P17890,P17891,P17898,P17967,P18239,P18480,P18562,P18888,P19097,P19262,P19263,P19358,P19414,P19454,P19659,P19812,P19882,P19955,P20053,P20095,P20134,P20424,P20447,P20448,P20449,P20676,P20967,P21147,P21243,P21269,P21373,P21538,P21560,P21576,P21951,P21954,P21957,P21965,P22035,P22082,P22134,P22137,P22138,P22141,P22147,P22203,P22217,P22354,P22515,P22579,P22936,P22943,P23180,P23248,P23254,P23255,P23292,P23293,P23301,P23542,P23615,P24280,P24384,P24783,P25037,P25039,P25040,P25087,P25297,P25302,P25343,P25357,P25365,P25369,P25371,P25372,P25374,P25375,P25379,P25441,P25443,P25451,P25491,P25502,P25554,P25555,P25567,P25582,P25588,P25627,P25694,P25719,P26321,P26637,P26783,P26784,P26785,P26793,P27476,P27692,P28004,P28239,P28241,P28263,P28272,P28273,P28274,P28320,P28495,P28707,P28777,P28817,P28834,P29055,P29056,P29295,P29311,P29453,P29468,P29509,P29539,P29547,P29704,P29952,P30624,P30822,P30902,P31373,P31378,P31383,P31385,P31412,P31539,P31688,P31787,P32074,P32190,P32264,P32288,P32324,P32327,P32340,P32342,P32353,P32356,P32377,P32379,P32380,P32419,P32432,P32445,P32447,P32454,P32457,P32462,P32463,P32468,P32471,P32473,P32494,P32495,P32496,P32497,P32499,P32504,P32521,P32527,P32558,P32561,P32563,P32565,P32571,P32582,P32583,P32589,P32591,P32597,P32599,P32602,P32614,P32639,P32657,P32776,P32787,P32832,P32892,P32898,P32901,P32911,P32939,P33201,P33203,P33297,P33298,P33299,P33302,P33309,P33313,P33322,P33331,P33333,P33399,P33411,P33416,P33417,P33442,P33750,P33891,P33892,P34161,P34167,P34216,P34219,P34227,P34237,P34247,P34730,P34760,P35169,P35177,P35187,P35189,P35191,P35194,P35691,P35719,P35723,P35817,P35997,P36008,P36009,P36010,P36013,P36015,P36018,P36036,P36047,P36049,P36053,P36059,P36080,P36084,P36112,P36124,P36136,P36141,P36147,P36149,P36154,P36160,P36421,P36534,P36775,P37012,P37291,P37292,P37302,P37303,P37838,P38009,P38011,P38013,P38071,P38074,P38075,P38077,P38086,P38087,P38088,P38112,P38115,P38116,P38121,P38122,P38129,P38137,P38139,P38144,P38153,P38197,P38198,P38199,P38205,P38219,P38249,P38255,P38264,P38266,P38276,P38281,P38300,P38333,P38336,P38345,P38351,P38431,P38523,P38624,P38625,P38626,P38630,P38636,P38687,P38689,P38695,P38698,P38701,P38705,P38707,P38708,P38720,P38754,P38768,P38777,P38779,P38787,P38788,P38793,P38801,P38803,P38804,P38805,P38827,P38828,P38833,P38845,P38850,P38858,P38859,P38879,P38882,P38883,P38884,P38891,P38910,P38911,P38920,P38931,P38934,P38961,P38972,P38988,P38996,P39001,P39002,P39004,P39010,P39015,P39073,P39077,P39078,P39079,P39109,P39111,P39517,P39520,P39521,P39522,P39533,P39676,P39678,P39705,P39714,P39715,P39726,P39730,P39744,P39925,P39927,P39935,P39938,P39952,P39956,P39960,P39968,P39976,P39979,P39986,P40002,P40005,P40007,P40010,P40012,P40018,P40019,P40024,P40029,P40040,P40043,P40046,P40047,P40053,P40055,P40069,P40075,P40078,P40081,P40106,P40151,P40154,P40160,P40161,P40185,P40202,P40206,P40212,P40312,P40317,P40327,P40348,P40413,P40457,P40466,P40470,P40489,P40491,P40493,P40495,P40505,P40506,P40513,P40517,P40525,P40531,P40535,P40545,P40553,P40562,P40581,P40693,P40825,P40961,P40970,P41057,P41058,P41277,P41338,P41696,P41805,P41807,P41810,P41811,P41812,P41813,P41814,P41895,P41896,P41920,P41921,P41940,P42073,P42846,P42938,P42940,P42949,P43535,P43555,P43572,P43579,P43583,P43585,P43586,P43588,P43594,P43603,P43609,P43616,P43621,P45976,P45978,P46367,P46655,P46669,P46672,P46678,P46681,P46784,P46947,P46956,P46957,P46964,P46969,P46990,P47006,P47008,P47019,P47037,P47039,P47047,P47075,P47077,P47079,P47083,P47089,P47110,P47117,P47119,P47120,P47124,P47133,P47176,P48015,P48164,P48234,P48240,P48360,P48361,P48510,P48525,P48570,P48589,P48606,P48836,P49017,P49095,P49166,P49167,P49573,P49687,P49723,P50094,P50095,P50105,P50861,P52488,P52553,P52893,P52910,P52918,P53040,P53044,P53063,P53064,P53072,P53075,P53079,P53081,P53082,P53090,P53114,P53136,P53141,P53148,P53163,P53165,P53168,P53184,P53192,P53193,P53199,P53219,P53221,P53235,P53252,P53254,P53261,P53267,P53276,P53278,P53297,P53312,P53313,P53318,P53438,P53549,P53551,P53552,P53598,P53617,P53622,P53628,P53691,P53723,P53725,P53741,P53742,P53743,P53833,P53854,P53860,P53865,P53875,P53883,P53889,P53905,P53909,P53914,P53927,P53940,P53941,P53946,P53973,P53981,P54113,P54115,P60010,P61830,P69771,P80210,P80428,P89105,P89886,Q00055,Q00416,Q00711,Q00764,Q00916,Q00955,Q01080,Q01163,Q01217,Q01329,Q01389,Q01448,Q01454,Q01476,Q01560,Q01574,Q01662,Q01802,Q01852,Q01855,Q01926,Q01939,Q01976,Q02046,Q02159,Q02201,Q02206,Q02326,Q02336,Q02455,Q02486,Q02555,Q02642,Q02647,Q02724,Q02725,Q02753,Q02775,Q02776,Q02792,Q02821,Q02890,Q02892,Q02908,Q02950,Q02961,Q03012,Q03048,Q03063,Q03102,Q03195,Q03280,Q03281,Q03330,Q03338,Q03362,Q03373,Q03388,Q03434,Q03532,Q03558,Q03661,Q03690,Q03707,Q03750,Q03761,Q03774,Q03790,Q03792,Q03799,Q03833,Q03880,Q03940,Q03973,Q04002,Q04003,Q04013,Q04031,Q04067,Q04116,Q04170,Q04178,Q04217,Q04223,Q04225,Q04226,Q04347,Q04401,Q04409,Q04500,Q04545,Q04600,Q04660,Q04673,Q04693,Q04697,Q04728,Q04779,Q04894,Q04947,Q05021,Q05022,Q05040,Q05050,Q05123,Q05166,Q05506,Q05515,Q05543,Q05580,Q05635,Q05775,Q05779,Q05812,Q05905,Q05911,Q05933,Q05942,Q05948,Q05958,Q06053,Q06089,Q06103,Q06106,Q06177,Q06178,Q06205,Q06214,Q06218,Q06224,Q06252,Q06287,Q06337,Q06338,Q06344,Q06350,Q06405,Q06406,Q06411,Q06440,Q06449,Q06493,Q06494,Q06505,Q06506,Q06508,Q06511,Q06624,Q06629,Q06631,Q06639,Q06671,Q06673,Q06679,Q06685,Q06697,Q06704,Q07457,Q07458,Q07478,Q07540,Q07551,Q07794,Q07878,Q07914,Q07953,Q08162,Q08179,Q08208,Q08237,Q08245,Q08421,Q08422,Q08647,Q08649,Q08686,Q08687,Q08689,Q08742,Q08746,Q08822,Q08887,Q08923,Q08925,Q08965,Q08971,Q08972,Q12018,Q12020,Q12060,Q12080,Q12109,Q12114,Q12118,Q12122,Q12136,Q12149,Q12154,Q12156,Q12159,Q12166,Q12186,Q12211,Q12220,Q12230,Q12250,Q12265,Q12287,Q12305,Q12306,Q12309,Q12314,Q12329,Q12335,Q12345,Q12363,Q12377,Q12389,Q12402,Q12408,Q12433,Q12434,Q12447,Q12449,Q12458,Q12460,Q12480,Q12495,Q12499,Q12504,Q12508,Q12513,Q12514,Q12515,Q12672,Q12692,Q12751,Q12754,Q3E705,Q3E754,Q6Q547,Q6Q560,Q99207,Q99216,Q99287,Q99314,Q99383
....GO:0031933	0.1	0.1	1.00	1	1125	1	1125	1	1	telomeric heterochromatin	Q08649
.....GO:0070626	0.1	0.1	1.00	1	1125	1	1125	1	1	(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity	Q05911
......GO:0016805	0.1	0.1	1.00	1	1125	1	1125	1	1	dipeptidase activity	P43616
.......GO:0005979	0.1	0.1	1.00	1	1125	1	1125	1	1	regulation of glycogen biosynthetic process	P17157
....GO:0051654	0.1	0.1	1.00	1	1125	1	1125	1	1	establishment of mitochondrion localization	Q05933
....GO:0051650	0.1	0.1	1.00	1	1125	1	1125	1	1	establishment of vesicle localization	P60010
.....GO:0004639	0.1	0.1	1.00	1	1125	1	1125	1	1	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity	P27616
...GO:0005835	0.2	0.2	1.00	2	1125	2	1125	1	1	fatty acid synthase complex	P07149,P19097
......GO:0004814	0.1	0.1	1.00	1	1125	1	1125	1	1	arginine-tRNA ligase activity	Q05506
.....GO:0033238	0.4	0.4	1.00	4	1125	4	1125	1	1	regulation of cellular amine metabolic process	P24280,P25502,P31385,P39001
.....GO:0046501	0.2	0.2	1.00	2	1125	2	1125	1	1	protoporphyrinogen IX metabolic process	P09950,P40012
.....GO:0031107	0.1	0.1	1.00	1	1125	1	1125	1	1	septin ring disassembly	P32457
.....GO:0030291	0.2	0.2	1.00	2	1125	2	1125	1	1	protein serine/threonine kinase inhibitor activity	P07278,P17442
....GO:0005951	0.1	0.1	1.00	1	1125	1	1125	1	1	carbamoyl-phosphate synthase complex	P03965
......GO:0006571	0.1	0.1	1.00	1	1125	1	1125	1	1	tyrosine biosynthetic process	P53090
....GO:0032365	0.1	0.1	1.00	1	1125	1	1125	1	1	intracellular lipid transport	Q12408
.....GO:0042085	0.1	0.1	1.00	1	1125	1	1125	1	1	5-methyltetrahydropteroyltri-L-glutamate-dependent methyltransferase activity	P05694
.....GO:0051783	1.2	1.2	1.00	14	1125	14	1125	1	1	regulation of nuclear division	P09959,P14832,P25357,P29311,P31383,P32561,P35187,P36124,P38911,P38934,P39001,P53148,P53860,Q03790
...GO:0051787	0.1	0.1	1.00	1	1125	1	1125	1	1	misfolded protein binding	P33416
.......GO:0006598	0.1	0.1	1.00	1	1125	1	1125	1	1	polyamine catabolic process	P38791
.......GO:0006596	0.1	0.1	1.00	1	1125	1	1125	1	1	polyamine biosynthetic process	Q12074
.....GO:0046655	0.1	0.1	1.00	1	1125	1	1125	1	1	folic acid metabolic process	P09440
.....GO:0046656	0.1	0.1	1.00	1	1125	1	1125	1	1	folic acid biosynthetic process	P09440
.....GO:0030091	0.1	0.1	1.00	1	1125	1	1125	1	1	protein repair	P40029
.......GO:0015991	0.8	0.8	1.00	9	1125	9	1125	1	1	ATP hydrolysis coupled proton transport	P00830,P07251,P16140,P17255,P22203,P31412,P32563,P39111,P41807
....GO:0042558	0.4	0.4	1.00	5	1125	5	1125	1	1	pteridine-containing compound metabolic process	P07245,P09440,P37291,P37292,Q02046
.....GO:0042559	0.3	0.3	1.00	3	1125	3	1125	1	1	pteridine-containing compound biosynthetic process	P07245,P09440,Q02046
....GO:0006116	0.4	0.4	1.00	5	1125	5	1125	1	1	NADH oxidation	P00330,P00331,P07246,P32340,Q00055
.......GO:0006115	0.1	0.1	1.00	1	1125	1	1125	1	1	ethanol biosynthetic process	P00330
...GO:0097550	0.1	0.1	1.00	1	1125	1	1125	1	1	transcriptional preinitiation complex	P29055
....GO:0006626	0.4	0.4	1.00	4	1125	4	1125	1	1	protein targeting to mitochondrion	P02829,P07213,P10591,P25491
......GO:0009265	0.1	0.1	1.00	1	1125	1	1125	1	1	2'-deoxyribonucleotide biosynthetic process	P06785
.....GO:0004845	0.1	0.1	1.00	1	1125	1	1125	1	1	uracil phosphoribosyltransferase activity	P18562
...GO:0036459	0.4	0.4	1.00	4	1125	4	1125	1	1	ubiquitinyl hydrolase activity	P25037,P32571,P43588,Q01476
....GO:0008361	0.1	0.1	1.00	1	1125	1	1125	1	1	regulation of cell size	P32432
....GO:0090293	0.1	0.1	1.00	1	1125	1	1125	1	1	nitrogen catabolite regulation of transcription	P39001
....GO:0006022	0.4	0.4	1.00	5	1125	5	1125	1	1	aminoglycan metabolic process	P14742,P29311,P34730,Q06350,Q12114
.......GO:0051127	0.1	0.1	1.00	1	1125	1	1125	1	1	positive regulation of actin nucleation	Q06440
.......GO:1901351	0.1	0.1	1.00	1	1125	1	1125	1	1	regulation of phosphatidylglycerol biosynthetic process	P24280
......GO:0009185	0.1	0.1	1.00	1	1125	1	1125	1	1	ribonucleoside diphosphate metabolic process	P07170
.....GO:0009394	0.1	0.1	1.00	1	1125	1	1125	1	1	2'-deoxyribonucleotide metabolic process	P06785
.....GO:0004122	0.1	0.1	1.00	1	1125	1	1125	1	1	cystathionine beta-synthase activity	P32582
.....GO:0004448	0.3	0.3	1.00	3	1125	3	1125	1	1	isocitrate dehydrogenase activity	P21954,P28241,P28834
......GO:0004449	0.2	0.2	1.00	2	1125	2	1125	1	1	isocitrate dehydrogenase (NAD+) activity	P28241,P28834
....GO:0051014	0.2	0.2	1.00	2	1125	2	1125	1	1	actin filament severing	Q03048,Q12156
......GO:0008732	0.1	0.1	1.00	1	1125	1	1125	1	1	L-allo-threonine aldolase activity	P37303
....GO:0006973	0.1	0.1	1.00	1	1125	1	1125	1	1	intracellular accumulation of glycerol	Q00055
.....GO:0044257	0.3	0.3	1.00	3	1125	3	1125	1	1	cellular protein catabolic process	P37302,P48361,Q05580
.....GO:0009132	0.4	0.4	1.00	4	1125	4	1125	1	1	nucleoside diphosphate metabolic process	P07170,P09938,P36010,P49723
