# min_ratio=None pval=None
id	enrichment	description	ratio_in_study	ratio_in_pop	p_uncorrected	p_bonferroni	p_holm	p_sidak	p_fdr	ANs_study	ANs_pop
GO:0006725	p	cellular aromatic compound metabolic process	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q07551	P53183,Q07551
GO:0006730	e	one-carbon metabolic process	9/1159	7/1159	0.803	2.07e+03	1.65e+03	2.02e+03	n.a.	P10659,P19358,P37291,P37292,P39726,P39954,P48015,P49095,Q02046	P07807,P10659,P19358,P37291,P37292,P39726,P39954,P48015,P49095,Q02046,Q08645,Q12676
GO:0006735	p	NADH regeneration	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32419	P32419
GO:0006740	p	NADPH regeneration	4/1159	4/1159	1	2.57e+03	1.87e+03	2.51e+03	n.a.	P11412,P46367,P54115,Q04869	P11412,P46367,P53982,P54115,Q04869
GO:0006741	e	NADP biosynthetic process	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P21373	
GO:0006744	e	ubiquinone biosynthetic process	4/1159	2/1159	0.687	1.77e+03	1.48e+03	1.72e+03	n.a.	P48360,P49017,P53318,Q05779	O13525,P18900,P27680,P27697,P32378,P41735,P48360,P49017,P53318,Q03034,Q05779,Q08058,Q12184
GO:0006749	e	glutathione metabolic process	5/1159	4/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P17695,P28273,P39109,P41921,Q07540	P17695,P22803,P28273,P36156,P39109,P40582,P41921,P50107,Q07540
GO:0006751	p	glutathione catabolic process	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P43616	P32656,P38149,P43616,P53871,Q05902
GO:0006754	p	ATP biosynthetic process	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P05030	P05030,P19657
GO:0006760	p	folic acid-containing compound metabolic process	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P07245	P07245
GO:0006782	p	protoporphyrinogen IX biosynthetic process	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P09950,P40012	P05373,P06174,P09950,P11353,P28789,P32347,P40012
GO:0006783	e	heme biosynthetic process	5/1159	3/1159	0.726	1.87e+03	1.53e+03	1.82e+03	n.a.	P04710,P09950,P16622,P40012,Q07540	P04710,P05373,P06174,P09950,P11353,P16622,P28789,P32347,P40012,Q07534,Q07540
GO:0006796	p	phosphate-containing compound metabolic process	3/1159	3/1159	1	2.57e+03	1.24e+03	2.51e+03	n.a.	P00817,P17442,P28239	P00635,P00817,P17442,P24031,P25353,P28239,P35842
GO:0006797	e	polyphosphate metabolic process	6/1159	4/1159	0.753	1.94e+03	1.58e+03	1.89e+03	n.a.	P25297,P32563,P40046,P43585,P47075,Q02725	P25297,P27514,P32563,P39535,P40046,P43585,P47075,Q02725,Q04119
GO:0006798	p	polyphosphate catabolic process	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P38698	P38698,Q04119,Q99321
GO:0006801	p	superoxide metabolic process	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P00445,P40202	P00445,P40202
GO:0006807	p	nitrogen compound metabolic process	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P33327	P27614,P32460,P33327,P40354,P47016,P49954
GO:0006810	e	transport	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P38142,P47019,P53741	P31377,P32796,P36125,P39542,P40017,P41318,P47019,P48563,P53142,P53741,P53918,P80235,Q04182,Q04373,Q07534,Q08234,Q08268,Q12407
GO:0006811	p	ion transport	2/1159	3/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P04840,Q07540	P04840,P23644,P32802,P39980,P40071,P40416,P40478,P53109,P53746,Q03516,Q04562,Q07540,Q08906,Q08908,Q12209
GO:0006812	p	cation transport	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P39986	P36062,P39986,P47082,P50944,P53389,Q06538,Q08269,Q12697
GO:0006813	e	potassium ion transport	3/1159	1/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P13587,Q06493,Q08179	P13587,P38329,P42839,P48569,Q01896,Q06493,Q08179
GO:0006814	p	sodium ion transport	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P13587	P13587,P27514,P39535,P42839,Q01896
GO:0006817	e	phosphate ion transport	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P25297,P38264,P46956	P25297,P27514,P38264,P38361,P39535,P46956,Q00582,Q06143
GO:0006820	p	anion transport	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P04840	P04840,P40478
GO:0006825	p	copper ion transport	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P38636	P23833,P38072,P38636
GO:0006828	p	manganese ion transport	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P25297	P06775,P13586,P25297,P38778,P47818,P53320,Q99385
GO:0006839	e	mitochondrial transport	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P04710,P18239,P38087	P04710,P18239,P32331,P38087,Q03028,Q99297
GO:0006842	e	tricarboxylic acid transport	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q04013	
GO:0006843	e	mitochondrial citrate transport	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q04013	
GO:0006855	p	drug transmembrane transport	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P33302	P32568,P33302,P40474,P53049
GO:0006874	p	cellular calcium ion homeostasis	3/1159	4/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P16140,P37012,P39986	P13586,P16140,P18898,P35206,P37012,P38301,P38929,P39986,P47818,Q99385
GO:0006878	p	cellular copper ion homeostasis	1/1159	3/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P00445	P00445,P23833,P25515,P32802,P37020,P38072,P40035,P40071,Q04562,Q12034,Q12288,Q3E846
GO:0006879	e	cellular iron ion homeostasis	6/1159	5/1159	1	2.57e+03	1.19e+03	2.51e+03	n.a.	P21373,P25374,P38636,P38988,P48360,Q07540	P21373,P25374,P25515,P27882,P32339,P32642,P32860,P35999,P37020,P38636,P38988,P38995,P39980,P40207,P40416,P47818,P48360,Q03020,Q03218,Q03835,Q07540,Q08970,Q12078,Q12288
GO:0006882	p	cellular zinc ion homeostasis	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P00445	P00445,P20107,P32798,P34240,P40499,Q03419,Q03455,Q07959,Q12442
GO:0006885	p	regulation of pH	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P05030	P05030,P19657
GO:0006886	p	intracellular protein transport	10/1159	15/1159	0.422	1.09e+03	1e+03	1.06e+03	n.a.	P17891,P22137,P25369,P32074,P32602,P35723,P41810,P41811,P43621,P53622	P12868,P15303,P17891,P20606,P22137,P25356,P25369,P25386,P25656,P27351,P27801,P32074,P32602,P32660,P32806,P32835,P32836,P32854,P32867,P35181,P35723,P36000,P38065,P38700,P38810,P38959,P39524,P39926,P40395,P40482,P40994,P41810,P41811,P43571,P43621,P53237,P53258,P53622,P53953,Q00381,Q00776,Q01590,Q02804,Q03178,Q03322,Q04175,Q04338,Q07451,Q07468,Q12028,Q12241,Q12674,Q12675,Q3E784,Q99186,Q99260
GO:0006887	p	exocytosis	4/1159	10/1159	0.178	459	445	447	n.a.	P07560,P17536,P60010,Q02201	O94742,P07560,P13185,P13186,P13586,P17065,P17536,P19658,P22224,P30619,P31109,P32364,P32844,P32855,P33328,P33332,P33338,P35843,P35844,P35845,P36006,P36126,P38163,P38261,P38555,P38713,P38755,P39531,P40357,P40414,P48566,P51996,P60010,P89102,Q02201,Q04322,Q04439,Q06245,Q06836,Q12038,Q12344,Q12451
GO:0006888	p	ER to Golgi vesicle-mediated transport	13/1159	21/1159	0.226	582	558	567	n.a.	P01123,P11076,P22217,P29295,P32074,P36015,P36149,P41810,P41811,P43555,P43621,P46956,P53622	P01123,P11075,P11076,P15303,P20133,P22213,P22214,P22215,P22217,P22803,P22804,P25385,P25386,P25560,P29295,P32074,P32613,P32803,P32864,P32909,P35196,P35197,P36015,P36149,P38182,P38312,P38334,P38682,P38736,P38843,P38869,P39543,P39704,P39727,P39993,P40094,P40509,P40529,P40533,P41810,P41811,P43555,P43571,P43621,P46944,P46956,P47102,P53039,P53173,P53271,P53337,P53622,P53633,P53845,P54837,Q00618,Q01590,Q02774,Q03337,Q03784,Q04322,Q04410,Q04412,Q04651,Q05359,Q12191,Q12234,Q12344,Q12396,Q12450,Q3E834,Q99394
GO:0006890	p	retrograde vesicle-mediated transport, Golgi to ER	9/1159	11/1159	0.823	2.12e+03	1.68e+03	2.07e+03	n.a.	P01123,P22217,P32074,P33891,P41811,P43621,P53192,P53622,Q12154	P01123,P22213,P22214,P22217,P22803,P22804,P25560,P28791,P32074,P33891,P35197,P38682,P39993,P40056,P40509,P40527,P41811,P41834,P43621,P47102,P53146,P53192,P53600,P53622,P53847,Q06385,Q12154,Q12745
GO:0006891	p	intra-Golgi vesicle-mediated transport	4/1159	4/1159	1	2.57e+03	1.87e+03	2.51e+03	n.a.	P34237,P36015,P36149,P53079	P11075,P32893,P34237,P36015,P36149,P39993,P40094,P40529,P43682,P47102,P53079,P53195,P53271,P53951,P53959,Q01590,Q03660,Q04183,Q04338,Q04412,Q04632,Q06096
GO:0006893	p	Golgi to plasma membrane transport	3/1159	5/1159	0.726	1.87e+03	1.53e+03	1.82e+03	n.a.	P07560,P11076,Q12114	P07560,P11076,P19658,P22224,P31109,P32844,P32855,P33328,P33332,P36122,P38163,P38261,P39926,P40357,P40955,P53237,P89102,Q03516,Q05029,Q06245,Q06705,Q08754,Q12038,Q12114
GO:0006895	p	Golgi to endosome transport	1/1159	3/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P36018	P12868,P27801,P36017,P36018,P38817,P38932,P41544,P47160,P48563,P54787,Q02866,Q03308,Q03769,Q03921,Q06336
GO:0006896	p	Golgi to vacuole transport	2/1159	4/1159	0.687	1.77e+03	1.48e+03	1.72e+03	n.a.	P24280,P38153	P20795,P24280,P32854,P35181,P36000,P38153,P38700,P38817,P38932,P39904,P40438,P46682,P47061,P47064,Q00776,Q04338,Q06336,Q08144,Q08951,Q12028,Q12071
GO:0006897	p	endocytosis	18/1159	23/1159	0.529	1.36e+03	1.2e+03	1.33e+03	n.a.	P17891,P21576,P22137,P23292,P25343,P25369,P32521,P32571,P32939,P34216,P36018,P38116,P40531,P53252,P60010,Q02201,Q03048,Q12230	P12611,P12688,P17891,P18634,P20795,P21576,P22137,P23291,P23292,P25343,P25369,P25515,P25623,P25656,P27351,P31109,P32521,P32571,P32660,P32790,P32793,P32939,P33328,P33338,P34216,P34758,P35843,P35844,P35845,P36006,P36017,P36018,P36117,P37370,P38065,P38116,P38310,P38314,P38713,P38755,P38822,P38856,P39013,P39104,P39524,P39531,P39743,P40527,P40531,P40559,P40956,P40994,P48563,P48566,P50942,P53252,P53309,P53863,P53965,P54003,P60010,Q00381,Q02201,Q03048,Q03088,Q03322,Q03407,Q04439,Q04847,Q05518,Q05785,Q06604,Q07872,Q08144,Q12013,Q12015,Q12230,Q12236,Q12271,Q12342,Q12446,Q12451,Q12518,Q12675,Q99186
GO:0006898	p	receptor-mediated endocytosis	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P06787	P06787,P46951,P53731,Q04439
GO:0006903	p	vesicle targeting	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P53141	P53141
GO:0006906	p	vesicle fusion	2/1159	6/1159	0.288	742	703	723	n.a.	P07560,P36015	P07560,P22214,P22804,P25385,P31109,P32867,P32912,P33328,P36015,P38736,P39926,P40357,P43682,Q01590,Q03322,Q04338,Q08144,Q12241,Q12255
GO:0006913	p	nucleocytoplasmic transport	4/1159	5/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32583,P33331,P39705,Q03280	P32500,P32583,P32835,P32836,P33331,P38181,P38344,P39685,P39705,P40064,P40957,P47054,P47122,P53011,Q03280,Q04175,Q07532
GO:0006914	p	autophagy	3/1159	5/1159	0.726	1.87e+03	1.53e+03	1.82e+03	n.a.	P07560,P32602,P36149	P07267,P07560,P17065,P25641,P32602,P35193,P36115,P36149,P38182,P38273,P38334,P38555,P38862,P48415,P51996,P53104,P53129,P53855,P53867,Q02948,Q03337,Q03784,Q03818,Q06628,Q08412,Q12142,Q99394
GO:0006915	p	apoptotic process	7/1159	9/1159	0.803	2.07e+03	1.65e+03	2.02e+03	n.a.	P00358,P00359,P04840,P18239,P25719,Q03558,Q04773	P00358,P00359,P04840,P08466,P09620,P18239,P25719,P36152,P40515,P43582,P52923,P53109,P53920,Q02933,Q03558,Q04773,Q06681,Q07923,Q08601,Q12158
GO:0006970	p	response to osmotic stress	4/1159	6/1159	0.753	1.94e+03	1.58e+03	1.89e+03	n.a.	P02829,P25343,P40106,P41277	P02829,P25343,P32334,P34078,P34160,P36006,P36027,P38889,P40106,P40454,P41277,P46680,P46683,P53599,P54867,Q02784,Q04439,Q06151,Q12123,Q12461,Q99271
GO:0006972	p	hyperosmotic response	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P13587	P08018,P13587,P32334,P32485,P54000,Q06132,Q12163
GO:0006973	p	intracellular accumulation of glycerol	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q00055	Q00055
GO:0006974	e	cellular response to DNA damage stimulus	9/1159	7/1159	0.803	2.07e+03	1.65e+03	2.02e+03	n.a.	P15790,P17157,P19454,P35169,P36010,P38859,P43583,Q04383,Q06624	P15790,P17157,P19454,P28625,P29469,P35169,P35732,P36010,P38859,P38930,P40164,P40850,P43583,P43633,P43639,P46962,P46963,Q02685,Q03957,Q04511,Q04964,Q06624,Q08561,Q12098,Q12158,Q12206,Q12386,Q12510,Q3E829
GO:0006979	e	response to oxidative stress	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q05948,Q07540	P32339,Q05948,Q06151,Q07540,Q12123
GO:0006986	p	response to unfolded protein	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P16474	P16474,P25303,P36016,P38888,P42844,P53224,Q06144
GO:0006997	p	nucleus organization	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q03280	P32835,P32836,Q03280
GO:0006998	p	nuclear envelope organization	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q00955	P38770,Q00955
GO:0006999	p	nuclear pore organization	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	Q03790,Q05166	P32500,P34077,P39685,P40548,P47054,P48837,P52593,Q02630,Q03790,Q05166,Q12164,Q12445
GO:0007004	p	telomere maintenance via telomerase	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P38199	P22336,P26754,P26755,P32797,P38199,P53038,P53397,Q04377
GO:0007005	p	mitochondrion organization	2/1159	6/1159	0.288	742	703	723	n.a.	P04840,P23180	O60200,P04840,P05986,P18409,P23180,P25364,P25846,P32266,P32453,P32831,P39940,P40156,P40207,P41800,P42844,P54861,Q02773,Q04172,Q04922,Q04964,Q06567,Q07807,Q12106,Q12171,Q12296
GO:0007007	e	inner mitochondrial membrane organization	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P38300,P40961	P38300,P40961,P47127,Q04172,Q06510
GO:0007009	p	plasma membrane organization	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P22943	P22943,Q05827,Q12207
GO:0007010	p	cytoskeleton organization	3/1159	3/1159	1	2.57e+03	1.24e+03	2.51e+03	n.a.	P06787,P32597,Q12329	P06787,P27637,P32597,P32600,P46988,P47068,Q06504,Q12329,Q12387
GO:0007015	p	actin filament organization	8/1159	12/1159	0.502	1.29e+03	1.14e+03	1.26e+03	n.a.	P17536,P25369,P32599,P47117,Q03048,Q05933,Q06440,Q12434	P06781,P08018,P12611,P17536,P17555,P23594,P23595,P24583,P25369,P32381,P32599,P32793,P33338,P34758,P37370,P38328,P38822,P39013,P39083,P40414,P40494,P47117,P47160,P53250,P53965,P53974,Q03048,Q05785,Q05933,Q06440,Q07872,Q08873,Q12434,Q12446,Q12518
GO:0007017	p	microtubule-based process	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q06440	P06781,Q06440,Q06688,Q12045
GO:0007020	e	microtubule nucleation	4/1159	2/1159	0.687	1.77e+03	1.48e+03	1.72e+03	n.a.	P32380,P38198,P53148,P53865	P06704,P32380,P33419,P33895,P36094,P38198,P38863,P39723,P40013,P40014,P40460,P46675,P53148,P53378,P53540,P53865,Q04477
GO:0007021	p	tubulin complex assembly	3/1159	3/1159	1	2.57e+03	1.24e+03	2.51e+03	n.a.	P40005,P48606,P52553	P39937,P40005,P40987,P46670,P48363,P48606,P52553,P53900,Q04493
GO:0007029	e	endoplasmic reticulum organization	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	Q04947,Q12402,Q99287	Q03557,Q03921,Q04947,Q12276,Q12402,Q99287
GO:0007030	p	Golgi organization	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P53079	P38146,P53079,Q04410
GO:0007031	p	peroxisome organization	2/1159	3/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P07248,P21576	P07248,P12904,P21576,P29340,P36014,P40515,P53203,P54861,Q02969,Q03370,Q06169,Q06497,Q08580,Q12405,Q12462
GO:0007033	p	vacuole organization	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P40531	P20795,P25515,P38932,P38959,P40527,P40531,P53246,Q03308,Q07468,Q08651
GO:0007034	p	vacuolar transport	5/1159	5/1159	1	2.57e+03	1.88e+03	2.51e+03	n.a.	P21576,P40046,P43585,P47075,Q02725	P21576,P32319,P32366,P32802,P38273,P40046,P40071,P40080,P43585,P47048,P47075,P47082,P48582,Q02725,Q04562,Q06815
GO:0007035	p	vacuolar acidification	8/1159	11/1159	0.646	1.66e+03	1.4e+03	1.62e+03	n.a.	P16140,P17255,P22203,P31412,P32563,P39111,P41807,P48836	P16140,P17255,P22203,P22204,P23643,P25515,P31412,P32341,P32366,P32563,P32610,P32842,P37296,P38784,P38932,P39111,P41807,P47104,P48836,P52286,Q02205,Q03956,Q04121,Q3E7B6
GO:0007039	p	protein catabolic process in the vacuole	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P37302	P00729,P01094,P09232,P14904,P37302,Q00816,Q05934
GO:0007049	p	cell cycle	7/1159	10/1159	0.628	1.62e+03	1.36e+03	1.58e+03	n.a.	P10962,P14907,P29539,P41940,P43572,P53313,Q12136	P06242,P06244,P10962,P12611,P14681,P14907,P19073,P20486,P24482,P24583,P25294,P25337,P25623,P25644,P27637,P29539,P32354,P32797,P34761,P39988,P40077,P40186,P40208,P40484,P40986,P41733,P41940,P43572,P47050,P53135,P53313,P53727,P53890,P54867,Q02457,Q03290,Q04964,Q05791,Q05924,Q06108,Q06211,Q06324,Q08438,Q08446,Q08729,Q08817,Q12046,Q12136,Q12502
GO:0007052	e	mitotic spindle organization	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P53865	
GO:0007059	p	chromosome segregation	5/1159	7/1159	0.774	1.99e+03	1.61e+03	1.94e+03	n.a.	P06105,P17106,P32504,P32597,P36047	O13329,P06105,P17106,P22149,P22209,P25644,P32325,P32504,P32597,P32598,P32914,P33895,P36047,P38181,P38829,P39731,P39732,P40014,P40460,P40568,P41818,P47149,P47167,P53298,P53330,Q00684,Q02732,Q03016,Q04049,Q04195,Q04477,Q06168,Q06488,Q06623,Q06675,Q08581,Q12143,Q12262,Q3E7Y6
GO:0007062	p	sister chromatid cohesion	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P40348	P38251,P38629,P40339,P40348,Q06488
GO:0007064	e	mitotic sister chromatid cohesion	5/1159	4/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P15873,P21951,P25588,P47037,Q01454	P15873,P17119,P21951,P25559,P25588,P32908,P38877,P40013,P40090,P40541,P47037,P47069,P47122,P49956,P53840,Q01454,Q02685,Q04049,Q04264,Q04659,Q06340,Q12045,Q12050,Q99359
GO:0007067	e	mitotic nuclear division	12/1159	11/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P09798,P29295,P33309,P33322,P36047,P38198,P53168,P53267,Q03280,Q03790,Q05166,Q08981	P00546,P04821,P06243,P06704,P07834,P07866,P09798,P11709,P14724,P16664,P16892,P17119,P20604,P21827,P23748,P24276,P24868,P27636,P29295,P32325,P32338,P32598,P33307,P33309,P33322,P33895,P36047,P36131,P36162,P36224,P38042,P38198,P38274,P38313,P39731,P39946,P40014,P40460,P40473,P40568,P40957,P40958,P42835,P43563,P43633,P46674,P47035,P47112,P47149,P48561,P50623,P53168,P53267,P53298,P53632,P53892,P53901,P53924,P69850,P69851,Q00684,Q03280,Q03790,Q03954,Q04477,Q04601,Q05080,Q05166,Q06819,Q08581,Q08683,Q12107,Q12143,Q12248,Q12493
GO:0007070	e	negative regulation of transcription from RNA polymerase II promoter during mitosis	3/1159	1/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P14922,P16649,P39001	P14922,P16649,P39001,P46676
GO:0007076	p	mitotic chromosome condensation	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q04002	P04786,P38170,P38989,P40090,Q04002,Q04264,Q06156,Q06680,Q12158,Q12267
GO:0007088	e	regulation of mitotic nuclear division	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P38934,Q03790	P32337,P38934,P47050,P53939,Q03790
GO:0007089	e	traversing start control point of mitotic cell cycle	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P22147,P32582,P53313	P04821,P22147,P31384,P32582,P40208,P53313,Q05924
GO:0007094	p	mitotic spindle assembly checkpoint	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P31383,P53148	P23594,P23595,P26449,P28006,P31383,P32598,P40013,P40537,P40957,P40958,P43587,P53148,P53892,Q02732
GO:0007107	p	membrane addition at site of cytokinesis	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P07560	P07560,P19524
GO:0007114	p	cell budding	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P06787	P06787,P32598,P36165,P38820,P40308,P40468,P40554,P50108
GO:0007118	p	budding cell apical bud growth	1/1159	4/1159	0.374	964	900	940	n.a.	P17536	P17536,P19073,P19524,P23201,P32464,P38041,P38692,P39083,P39969,P40091,P40414,P40468,P41697,P41832,P43563,P53894,Q03497,Q08817
GO:0007119	p	budding cell isotropic bud growth	2/1159	3/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P17536,P60010	P17536,P19073,P39083,P40414,P60010
GO:0007120	p	axial cellular bud site selection	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32521	P13856,P25558,P32521,P33314,P38312,P38928,P40851,P47136,P53173,P53238
GO:0007121	p	bipolar cellular bud site selection	2/1159	3/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P07560,P32521	P07560,P13856,P23201,P32521,P33314,P33338,P36006,P37370,P39013,P40091,P41697,P53238,Q03497,Q04439
GO:0007124	e	pseudohyphal growth	9/1159	8/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P13574,P16387,P17536,P18412,P29311,P34730,P38705,P39001,P53438	P06782,P06784,P06844,P10823,P13574,P16387,P17536,P23201,P23561,P24309,P25044,P25576,P25655,P29311,P30605,P32801,P32802,P34730,P34761,P37304,P38705,P38713,P38742,P38990,P39001,P39083,P39717,P40071,P40091,P41697,P41698,P53094,P53438,P53923,Q03125,Q03497,Q04562,Q05031,Q08886,Q12361,Q12505
GO:0007126	e	meiotic nuclear division	5/1159	3/1159	0.726	1.87e+03	1.53e+03	1.82e+03	n.a.	P21965,P32597,P35169,P38934,P51979	P07834,P12753,P17119,P21965,P28006,P32597,P32598,P33400,P35169,P38236,P38741,P38742,P38934,P43568,P46944,P46958,Q02256,Q04264,Q08581,Q12052
GO:0007127	e	meiosis I	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P40316	
GO:0007129	e	synapsis	3/1159	0/1159	0.25	643	615	627	n.a.	P20050,P31111,P51979	
GO:0007130	e	synaptonemal complex assembly	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P20050,P47037	P00546,P38989,P47037,P53061,Q06156,Q06680,Q12267
GO:0007131	e	reciprocal meiotic recombination	7/1159	4/1159	0.548	1.41e+03	1.24e+03	1.38e+03	n.a.	P06786,P31111,P38086,P38920,P47037,P51979,Q05812	P06786,P22336,P25454,P25846,P26754,P26755,P32829,P38086,P38111,P38694,P38741,P38920,P40577,P47037,P48581,P53060,P53061,Q02793,Q03104,Q05812,Q08818
GO:0007155	p	cell adhesion	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P22943	P06782,P22943,Q04739
GO:0007165	p	signal transduction	1/1159	6/1159	0.124	320	313	312	n.a.	P38140	P10823,P11972,P17121,P18963,P19158,P21827,P22517,P24583,P27466,P31374,P32490,P32491,P32525,P32578,P32600,P32873,P33314,P34164,P35688,P38247,P38870,P38903,P39717,P40442,P40528,P41318,Q00362,Q00772,Q04739,Q06412,Q08217,Q08817,Q08886,Q12199,Q12200,Q12224,Q12462
GO:0007186	p	G-protein coupled receptor signaling pathway	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P38011	P38011,Q12361
GO:0007190	e	activation of adenylate cyclase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P01120	
GO:0007264	p	small GTPase mediated signal transduction	9/1159	10/1159	1	2.57e+03	1.85e+03	2.51e+03	n.a.	P01120,P01123,P07560,P11076,P32939,P36018,P38116,P39960,Q12434	P01119,P01120,P01123,P06780,P06781,P07560,P07866,P11076,P11433,P13856,P18898,P19073,P19146,P25378,P32601,P32835,P32836,P32939,P36017,P36018,P38116,P38146,P38555,P38987,P39722,P39960,P40994,P43556,P48559,P51862,P51996,Q00245,Q00246,Q02804,Q06407,Q06409,Q12038,Q12434,Q99260
GO:0007265	p	Ras protein signal transduction	2/1159	3/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P29311,P34730	P04821,P05986,P06244,P06245,P08678,P17555,P29311,P34730
GO:0007329	e	positive regulation of transcription from RNA polymerase II promoter by pheromones	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P13574,Q04004	P13574,P53968,Q12017,Q3E833
GO:0007535	e	donor selection	3/1159	1/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P15790,P19454,P40466	P15790,P19454,P40466,Q04437
GO:0007584	p	response to nutrient	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q01389	P48582,Q01389,Q06151,Q12123
GO:0008017	e	microtubule binding	4/1159	3/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P53148,P53168,P53267,Q06440	P11709,P17119,P27895,P28742,P32364,P35734,P36131,P36162,P46675,P53086,P53148,P53168,P53267,P53904,P69850,P69851,Q03954,Q06440,Q12045,Q12248
